participant_ID,corr_coeff,corr_coeff_z,OUS_IB,OUS_IH
POC01AL,0.7473028425354331,0.9668184397424694,3.0,5.25
PRI11TH,0.9367839145523916,1.711112657538616,5.2,3.25
PRO05EY,0.3857271381445886,0.4067705302481747,6.0,6.25
Pea94ns,0.9999999,8.40562139102231,5.6,3.25
Qui24ig,0.9207747210672768,1.5940942289279953,,
REE03EN,0.7253120966402985,0.9187638411896689,3.2,5.0
REN23AN,-0.11043152607484648,-0.11088374830128539,,
REWU18,,,4.6,5.5
RID09IA,-0.9999999,-8.40562139102231,5.0,1.75
RIV08CK,,,6.6,6.5
ROA09AN,,,5.0,4.5
ROM03GO,,,6.0,4.0
SAN28LE,-0.14002800840280097,-0.14095414452707336,3.2,4.25
SAW16IA,,,6.2,5.25
SEA25ES,,,4.2,4.75
SEVUS,,,3.8,3.5
SKI30WI,0.5083410670387901,0.560490222179814,4.6,3.25
SOU05RY,0.7913884712047399,1.075136235935869,2.4,4.5
SOU09CK,,,3.0,4.0
SPR11AN,0.7540743752055021,0.9823337116218906,5.6,2.0
STR15ND,0.8792151454272203,1.3722992956163902,3.2,4.5
SUM09LO,0.9707253433941511,2.104717384555874,3.2,5.0
SVI31VA,0.9819805060619657,2.3501988554586175,3.4,4.25
SVO07NA,,,3.4,4.0
San28le,,,,
TAN24ER,0.9999999,8.40562139102231,2.8,5.25
TAN91FU,0.9607689228305226,1.9558113826072918,2.4,1.75
TER06AW,0.04782396936888878,0.04786047939492372,6.4,4.25
TER12MO,0.9999999,8.40562139102231,1.0,1.5
THO20GI,0.8349443910563903,1.2042435072033035,3.2,4.25
Ter06aw,,,,
VER10HY,-0.9999999,-8.40562139102231,3.6,2.75
WAL11RY,,,5.6,3.5
WEB02NU,0.23733318373093046,0.2419462121711517,4.4,5.0
WES94ER,-0.26028960314767674,-0.2664190316549163,4.0,2.25
WIN20LS,0.36073955268291136,0.3777358312726314,5.6,5.5
WOO08GS,0.8525449352579545,1.2653960649381446,3.2,4.0
Wil31ar,,,3.6,4.5
YJZ20YC,-0.9607689228305228,-1.955811382607295,2.2,3.5
YOS12CK,,,7.0,6.5
ZWOP888,,,4.0,5.0
cal02sa,,,,
cli10an,0.7892051872524704,1.0693207809258647,,
cou01ta,0.9084287514898947,1.5184590988849722,5.6,2.75
lon20es,0.6861024319998766,0.8405540875183547,3.8,5.0
oce10ta,0.6016362990591417,0.6957078315442986,4.4,5.75
ron03bs,0.8660254037844387,1.316957896924817,5.8,4.75
wea07on,,,4.6,4.5
